項番	大項目	中項目	予定時刻		"対象サーバ
（作業端末）"	対象ユーザ	作業内容	確認内容／注意点
89							インターネットインフォメーションサービス（IIS）マネージャー画面左ペインから[pdn01]を選択し、右ペインの[停止]をクリックする。	「停止」「再起動」ボタンがグレーアウトし「開始」ボタンが有効化(水色)されていることを確認する
90							デスクトップ上に作成した「desknet's NEO」のショートカットをダブルクリックする。	アクセスできないことを確認する
91		「c:\inetpub\Scripts\dneo\file」フォルダを「g:\dneo」フォルダ配下へ移動					"エクスプローラで以下のパスに遷移する。

c:\inetpub\Scripts\dneo"	
92							「file」フォルダで右クリックし、[切り取り]をクリックする。	
93							"エクスプローラで以下のパスに遷移する。

g:\dneo"	※fileフォルダが前段の作業でリネームされていることを確認する。
94							エクスプローラから「g:\dneo」フォルダ内で、右クリックし[貼り付け]をクリックする。	
95		「c:\inetpub\Scripts\dneo\wmldata」を「h:\dneo」配下へ移動					"エクスプローラで以下のパスに遷移する。

c:\inetpub\Scripts\dneo"	※wmldataフォルダが前段の作業でリネームされていることを確認する。
96							「wmldata」フォルダで右クリックし、[切り取り]をクリックする。	
97							"エクスプローラで以下のパスに遷移する。

h:\dneo"	
98							エクスプローラから「h:\dneo」フォルダ内で、右クリックし[貼り付け]をクリックする。	
99	appファイル内容変更	C:\inetpub\Scripts\dneo\data\app					"エクスプローラで以下のパスに遷移する。

c:\inetpub\Scripts\dneo\data"	
100							フォルダ内の[app]ファイルをメモ帳で開く。	
101							"以下を変更し、上書き保存する。

dbdirfile=g:\dneo\file
dbdirmaildata=h:\dneo\wmldata"	※dbdirfile=やdbdirmaildata=で始まる行がない場合は、追記する。
102		C:\inetpub\Scripts\dneo\dneofts\data\app					"エクスプローラで以下のパスに遷移する。

c:\inetpub\Scripts\dneo\dneofts\data"	
103							フォルダ内の[app]ファイルをメモ帳で開く。	
104							"以下を変更し、上書き保存する。

dbdirfile=g:\dneo\file"	
105		IISサービス開始			pdn02	local-admin	タスクバーの[Windows]→[サーバーマネージャー]をクリックする。	
106							[ツール]→[インターネットインフォメーションサービス（IIS）マネージャー]をクリックする。	
107							インターネットインフォメーションサービス（IIS）マネージャー画面左ペインから[pdn01]を選択し、右ペインの[開始]をクリックする。	「停止」「再起動」ボタンがグレーアウトし「開始」ボタンが有効化(水色)されていることを確認する
108							デスクトップ上に作成した「desknet's NEO」のショートカットをダブルクリックする。	アクセスできないことを確認する
109	確認作業	動作確認			pdn02	local-admin	デスクトップ上に作成した「desknet's NEO」のショートカットをダブルクリックする。	"エラー別対処方法
サイトが見つかりません。→IISのサービスが停止
データベースに問題があります。
→以下のフォルダにフルコントロールでeveryoneのアクセス権を追加
g:\dneo
h:\dneo
g:\PostgreSQL\13\data"
110							"desknet'sにログインする。
ログイン画面下部に[desknet's NEO V7.5R2.0]と表記されていることを確認する。"	
111							"以下の情報を利用してログインする。

組織：[情報システム室]
指名：[責任者]
パスワード：[]※空欄
□この情報をブラウザに保存する"	desknet'sにログインできることを確認する。
112							[キャビネット]から[ネオツイ]を開き[VUP検証]をクリックする。	
113							「ファイルの詳細」画面で、[desknet's 現在の設定.txt]をクリックし、保存する。	
114							保存したファイルが開き、内容が正しく閲覧できるとを確認する。	
115	PostgreSQLのチューニング				pdn02	local-admin	"エクスプローラで以下のパスに遷移する。

c:\g_drive\PostgreSQL\13\data\postgresql.conf"	
116							"「postgresql.conf」ファイルのバックアップを作成する。

postgresql.conf.back"	
117							"「postgresql.conf」をメモ帳で開き以下の値に設定し保存する。

1.shared_buffers(既定値1GB)
[変更前]shared_buffers = 128MB
[変更後]shared_buffers = 2048MB

2.work_mem(既定値1MB)
[変更前]#work_mem = 1MB
[変更後]work_mem = 8MB

3.max_connections(既定値100)
[変更前]max_connections = 100
[変更後]max_connections = 100

4.effective_cache_size(既定値128MB)
[変更前]#effective_cache_size = 128MB
[変更後]effective_cache_size = 4096MB"	3.max_connectionsについては基本的に変更不要だが、ピーク時にDBタイムアウトが発生する場合は、必要に応じて調整する。
118		PostgreSQLの再起動			pdn02	local-admin	コンピュータの管理画面の左ペインから[サービスとアプリケーション]を選択し、[サービス]をクリックする。	
119							サービス一覧から[postgresql-x64-13]を右クリック→[再起動]をクリックする。	正常に起動することを確認する。
120	サービス無効化	"World Wide web 発行サービス無効化
(IISサービスの無効化)"			pdn02	local-admin	コンピュータの管理画面の左ペインから[サービスとアプリケーション]を選択し、[サービス]をクリックする。	
121							サービス一覧から[World Wide web 発行サービス]をダブルクリックする。	
122							「World Wide web 発行サービス」の全般タブで[停止]をクリックする。	
123							"「World Wide web 発行サービス」の全般タブで以下を設定し[OK]をクリックする。

スタートアップの種類:無効"	※共有ドライブにユーザデータを格納し、動作確認の時まで、pdn02は動作しないように設定する。
124		PostgreSQL13の無効化			pdn02	local-admin	コンピュータの管理画面の左ペインから[サービスとアプリケーション]を選択し、[サービス]をクリックする。	
125							サービス一覧から[postgresql-x64-13]をダブルクリックする。	
126							「postgresql-x64-13」の全般タブで[停止]をクリックする。	
127							"「postgresql-x64-13」の全般タブで以下を設定し[OK]をクリックする。

スタートアップの種類:無効"	※共有ドライブにユーザデータを格納し、動作確認の時まで、pdn02は動作しないように設定する。
128	desknet'sフォルダリネーム	desknet's「file」フォルダリネーム			pdn02	local-admin	「エクスプローラー」を起動し、「g:\dneo」に遷移する。	
129							「dneo」フォルダ内の「file」フォルダ名を「dneo7.5_file」に変更する。	
130							「dneo」フォルダ内の「dneo3.5_file」フォルダ名を「file」に変更する。	※pdn01からまたアクセスできるようにもとに戻す。
131		desknet's「wmldata」フォルダリネーム			pdn02	local-admin	「エクスプローラー」で、「h:\dneo」に遷移する。	
132							「dneo」フォルダ内の「wmldata」フォルダ名を「dneo7.5_wmldata」に変更する。	
133							「dneo」フォルダ内の「dneo3.5_wmldata」フォルダ名を「wmldata」に変更する。	※pdn01からまたアクセスできるようにもとに戻す。
134	PostgreSQLフォルダリネーム	postgresql「13」フォルダリネーム			pdn02	local-admin	「エクスプローラー」を起動し、「g:\postgresql」に遷移する。	
135							「postgresql」フォルダ内の「13」フォルダ名を「dneo7.5_13」に変更する。	
136	WSFCノード切り替え	現在のアクティブノードの確認			pdn01	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[フェールオーバークラスターマネージャー]をクリックする。	
137							「フェールオーバークラスターマネージャー」画面の左ペインの[フェールオーバークラスターマネジャー]で右クリックし、[クラスターへの接続]をクリックする。	
138							「クラスターの選択」画面で、[OK]をクリックする。	左ペインに「pdn00.jpt.transport.co.jp」のノードが表示されること。
139							左ペインの「pdn00.jpt.transport.co.jp」ノードを展開し、「記憶域」の配下の[ディスク]をクリックする。	所有者ノードが[pdn02]になっていることを確認する。
140							「エクスプローラー」を起動し、F、G、Hドライブがマウントされていることを確認する。	※F、G、Hドライブがマウントされていない場合は、アクティブノードの切り替えが必要。
141							左ペインの「pdn00.jpt.transport.co.jp」で右クリックし、[他のアクション] - [コア クラスターリソースの移動] - [ノードの選択]をクリックする。	
142							「クラスター リソースを移動する」画面で、「pdn01」を選択し、[OK]をクリックする。	
143							左ペインの「pdn00.jpt.transport.co.jp」ノードを展開し、「記憶域」の配下の[ディスク]をクリックする。	所有者ノードが[pdn01]になったことを確認する。
144	サービス開始				pdn01	local-admin	「サーバーマネージャー」の[ツール]をクリックし、[サービス]をクリックする。	
145							"以下のサービス名を右クリックし、[開始]をクリックする。

・postgresql-x64-9.3 - PostgreSQL Server 9.3
・World Wide Web 発行サービス"	
146	確認作業	動作確認			pdn02	local-admin	デスクトップ上に作成した「desknet's NEO」のショートカットをダブルクリックする。	"エラー別対処方法
サイトが見つかりません。→IISのサービスが停止
データベースに問題があります。
→以下のフォルダにフルコントロールでeveryoneのアクセス権を追加
g:\dneo
h:\dneo
g:\PostgreSQL\9.3\data"
147							"desknet'sにログインする。
ログイン画面下部に[desknet's NEO V3.5R1.3]と表記されていることを確認する。"	
148							"以下の情報を利用してログインする。

組織：[情報システム室]
指名：[責任者]
パスワード：[]※空欄
□この情報をブラウザに保存する"	desknet'sにログインできることを確認する。
149							[キャビネット]から[ネオツイ]を開き[VUP検証]をクリックする。	
150							「ファイルの詳細」画面で、[desknet's 現在の設定.txt]をクリックし、保存する。	
151							保存したファイルが開き、内容が正しく閲覧できるとを確認する。	
152	サーバサインアウト	サーバサインアウト			pdn02	local-admin	開いているウインドウを全て閉じる	
153							サインアウトする	
154	サーバサインアウト	サーバサインアウト			pdn01	local-admin	開いているウインドウを全て閉じる	
155							サインアウトする	
